d,T,N,u,time_simu,ref_value
1.0,0.2,10.0,0.9950888752937317,88.176052674,
1.0,0.2,10.0,0.9878552556037903,84.057869007,
1.0,0.2,10.0,0.9882204532623291,83.646091528,
1.0,0.2,10.0,0.9983842372894287,83.38482158,
1.0,0.2,10.0,0.9927932024002075,88.25290851,
2.0,0.2,10.0,0.9850667119026184,96.296365916,
2.0,0.2,10.0,0.9903908967971802,91.28145225,
2.0,0.2,10.0,0.9941633343696594,91.031596666,
2.0,0.2,10.0,0.9862455725669861,93.61670623,
2.0,0.2,10.0,0.9858379364013672,90.734592555,
5.0,0.2,10.0,0.9791460037231445,101.939001079,
5.0,0.2,10.0,0.999132513999939,100.592600291,
5.0,0.2,10.0,0.9900684952735901,103.288081244,
5.0,0.2,10.0,0.9794698357582092,97.834130797,
5.0,0.2,10.0,0.988572895526886,98.989076789,
10.0,0.2,10.0,0.9548684358596802,112.180613026,
10.0,0.2,10.0,0.9644794464111328,110.905416771,
10.0,0.2,10.0,0.9813067317008972,110.141061795,
10.0,0.2,10.0,0.9731745719909668,109.19413388,
10.0,0.2,10.0,0.963099479675293,110.420778741,
1.0,0.5,10.0,0.9878358840942383,75.949102157,
1.0,0.5,10.0,0.9729712009429932,75.154494497,
1.0,0.5,10.0,0.9851570129394531,74.900051955,
1.0,0.5,10.0,0.9863840341567993,77.517266424,
1.0,0.5,10.0,0.9871346950531006,75.965983129,
2.0,0.5,10.0,0.973677933216095,86.321813759,
2.0,0.5,10.0,0.9645221829414368,86.347495886,
2.0,0.5,10.0,0.9740537405014038,85.804177079,
2.0,0.5,10.0,0.9712732434272766,89.358198973,
2.0,0.5,10.0,0.9756210446357727,89.491757987,
5.0,0.5,10.0,0.9633709788322449,96.358648049,
5.0,0.5,10.0,0.9377794861793518,94.205904462,
5.0,0.5,10.0,0.9550049304962158,93.474206067,
5.0,0.5,10.0,0.9406256675720215,92.875868501,
5.0,0.5,10.0,0.948341429233551,93.657656447,
10.0,0.5,10.0,0.9220008850097656,109.605597802,
10.0,0.5,10.0,0.9104297161102295,107.266279729,
10.0,0.5,10.0,0.8940420746803284,109.281742005,
10.0,0.5,10.0,0.9195404052734375,108.807324149,
10.0,0.5,10.0,0.9300190210342407,107.980202968,
1.0,1.0,10.0,0.981208860874176,72.001933313,
1.0,1.0,10.0,0.98018479347229,75.006400887,
1.0,1.0,10.0,0.9811642169952393,72.252658161,
1.0,1.0,10.0,0.9825283288955688,70.484117173,
1.0,1.0,10.0,0.9824984073638916,71.115741802,
2.0,1.0,10.0,0.9625290632247925,84.197399047,
2.0,1.0,10.0,0.9668527245521545,84.057615028,
2.0,1.0,10.0,0.9653363823890686,84.686038743,
2.0,1.0,10.0,0.9672278761863708,84.521341213,
2.0,1.0,10.0,0.9677635431289673,84.103991,
5.0,1.0,10.0,0.9185811281204224,96.202671013,
5.0,1.0,10.0,0.9183251857757568,96.192809885,
5.0,1.0,10.0,0.9155746698379517,95.678732735,
5.0,1.0,10.0,0.9203763604164124,95.702087744,
5.0,1.0,10.0,0.9177331924438477,95.419854877,
10.0,1.0,10.0,0.8555743098258972,110.381001205,
10.0,1.0,10.0,0.8855628967285156,108.893228635,
10.0,1.0,10.0,0.8479246497154236,108.922316619,
10.0,1.0,10.0,0.8558672070503235,108.150839482,
10.0,1.0,10.0,0.8716224431991577,106.960247434,
1.0,0.2,10.0,0.9938759207725525,66.402332884,
1.0,0.2,10.0,0.9927780628204346,67.45660183,
1.0,0.2,10.0,0.9931607246398926,68.168787141,
1.0,0.2,10.0,0.9885942339897156,67.233166617,
1.0,0.2,10.0,0.9962131381034851,67.463280747,
2.0,0.2,10.0,0.9872071743011475,75.180652741,
2.0,0.2,10.0,0.9889594316482544,75.185978383,
2.0,0.2,10.0,0.9950345754623413,75.872269956,
2.0,0.2,10.0,0.985621988773346,76.226734616,
